AcademicYear,LevelOfStudy,ProgrammeCategory,Sex,Headcount
2009/10,Sub-degree,Arts and Humanities,M,158
2009/10,Sub-degree,Arts and Humanities,F,475
2009/10,Sub-degree,Business and Management,M,73
2009/10,Sub-degree,Business and Management,F,227
2009/10,Sub-degree,Education,M,122
2009/10,Sub-degree,Education,F,581
2009/10,Sub-degree,Engineering and Technology,M,507
2009/10,Sub-degree,Engineering and Technology,F,505
2009/10,Sub-degree,"Medicine, Dentistry and Health",M,23
2009/10,Sub-degree,"Medicine, Dentistry and Health",F,91
2009/10,Sub-degree,Sciences,M,124
2009/10,Sub-degree,Sciences,F,168
2009/10,Sub-degree,Social Sciences,M,36
2009/10,Sub-degree,Social Sciences,F,91
2009/10,Undergraduate,Arts and Humanities,M,659
2009/10,Undergraduate,Arts and Humanities,F,1788
2009/10,Undergraduate,Business and Management,M,1861
2009/10,Undergraduate,Business and Management,F,2314
2009/10,Undergraduate,Education,M,148
2009/10,Undergraduate,Education,F,579
2009/10,Undergraduate,Engineering and Technology,M,2152
2009/10,Undergraduate,Engineering and Technology,F,1016
2009/10,Undergraduate,"Medicine, Dentistry and Health",M,432
2009/10,Undergraduate,"Medicine, Dentistry and Health",F,769
2009/10,Undergraduate,Sciences,M,1814
2009/10,Undergraduate,Sciences,F,1010
2009/10,Undergraduate,Social Sciences,M,897
2009/10,Undergraduate,Social Sciences,F,1705
2009/10,Taught Postgraduate,Arts and Humanities,M,39
2009/10,Taught Postgraduate,Arts and Humanities,F,70
2009/10,Taught Postgraduate,Business and Management,M,5
2009/10,Taught Postgraduate,Business and Management,F,6
2009/10,Taught Postgraduate,Education,M,518
2009/10,Taught Postgraduate,Education,F,848
2009/10,Taught Postgraduate,Engineering and Technology,M,62
2009/10,Taught Postgraduate,Engineering and Technology,F,75
2009/10,Taught Postgraduate,"Medicine, Dentistry and Health",M,41
2009/10,Taught Postgraduate,"Medicine, Dentistry and Health",F,55
2009/10,Taught Postgraduate,Sciences,M,37
2009/10,Taught Postgraduate,Sciences,F,60
2009/10,Taught Postgraduate,Social Sciences,M,96
2009/10,Taught Postgraduate,Social Sciences,F,180
2009/10,Research Postgraduate,Arts and Humanities,M,82
2009/10,Research Postgraduate,Arts and Humanities,F,108
2009/10,Research Postgraduate,Business and Management,M,53
2009/10,Research Postgraduate,Business and Management,F,77
2009/10,Research Postgraduate,Education,M,12
2009/10,Research Postgraduate,Education,F,26
2009/10,Research Postgraduate,Engineering and Technology,M,347
2009/10,Research Postgraduate,Engineering and Technology,F,143
2009/10,Research Postgraduate,"Medicine, Dentistry and Health",M,136
2009/10,Research Postgraduate,"Medicine, Dentistry and Health",F,166
2009/10,Research Postgraduate,Sciences,M,373
2009/10,Research Postgraduate,Sciences,F,202
2009/10,Research Postgraduate,Social Sciences,M,82
2009/10,Research Postgraduate,Social Sciences,F,124
2010/11,Sub-degree,Arts and Humanities,M,126
2010/11,Sub-degree,Arts and Humanities,F,444
2010/11,Sub-degree,Business and Management,M,103
2010/11,Sub-degree,Business and Management,F,331
2010/11,Sub-degree,Education,M,120
2010/11,Sub-degree,Education,F,639
2010/11,Sub-degree,Engineering and Technology,M,514
2010/11,Sub-degree,Engineering and Technology,F,498
2010/11,Sub-degree,"Medicine, Dentistry and Health",M,23
2010/11,Sub-degree,"Medicine, Dentistry and Health",F,82
2010/11,Sub-degree,Sciences,M,165
2010/11,Sub-degree,Sciences,F,153
2010/11,Sub-degree,Social Sciences,M,41
2010/11,Sub-degree,Social Sciences,F,100
2010/11,Undergraduate,Arts and Humanities,M,658
2010/11,Undergraduate,Arts and Humanities,F,1855
2010/11,Undergraduate,Business and Management,M,1900
2010/11,Undergraduate,Business and Management,F,2417
2010/11,Undergraduate,Education,M,183
2010/11,Undergraduate,Education,F,703
2010/11,Undergraduate,Engineering and Technology,M,2196
2010/11,Undergraduate,Engineering and Technology,F,1021
2010/11,Undergraduate,"Medicine, Dentistry and Health",M,427
2010/11,Undergraduate,"Medicine, Dentistry and Health",F,744
2010/11,Undergraduate,Sciences,M,1857
2010/11,Undergraduate,Sciences,F,948
2010/11,Undergraduate,Social Sciences,M,963
2010/11,Undergraduate,Social Sciences,F,1727
2010/11,Taught Postgraduate,Arts and Humanities,M,43
2010/11,Taught Postgraduate,Arts and Humanities,F,67
2010/11,Taught Postgraduate,Business and Management,M,3
2010/11,Taught Postgraduate,Business and Management,F,2
2010/11,Taught Postgraduate,Education,M,540
2010/11,Taught Postgraduate,Education,F,908
2010/11,Taught Postgraduate,Engineering and Technology,M,80
2010/11,Taught Postgraduate,Engineering and Technology,F,52
2010/11,Taught Postgraduate,"Medicine, Dentistry and Health",M,12
2010/11,Taught Postgraduate,"Medicine, Dentistry and Health",F,20
2010/11,Taught Postgraduate,Sciences,M,33
2010/11,Taught Postgraduate,Sciences,F,51
2010/11,Taught Postgraduate,Social Sciences,M,100
2010/11,Taught Postgraduate,Social Sciences,F,172
2010/11,Research Postgraduate,Arts and Humanities,M,91
2010/11,Research Postgraduate,Arts and Humanities,F,125
2010/11,Research Postgraduate,Business and Management,M,50
2010/11,Research Postgraduate,Business and Management,F,54
2010/11,Research Postgraduate,Education,M,19
2010/11,Research Postgraduate,Education,F,41
2010/11,Research Postgraduate,Engineering and Technology,M,362
2010/11,Research Postgraduate,Engineering and Technology,F,156
2010/11,Research Postgraduate,"Medicine, Dentistry and Health",M,142
2010/11,Research Postgraduate,"Medicine, Dentistry and Health",F,146
2010/11,Research Postgraduate,Sciences,M,414
2010/11,Research Postgraduate,Sciences,F,210
2010/11,Research Postgraduate,Social Sciences,M,114
2010/11,Research Postgraduate,Social Sciences,F,126
2011/12,Sub-degree,Arts and Humanities,M,132
2011/12,Sub-degree,Arts and Humanities,F,358
2011/12,Sub-degree,Business and Management,M,96
2011/12,Sub-degree,Business and Management,F,249
2011/12,Sub-degree,Education,M,180
2011/12,Sub-degree,Education,F,635
2011/12,Sub-degree,Engineering and Technology,M,563
2011/12,Sub-degree,Engineering and Technology,F,457
2011/12,Sub-degree,"Medicine, Dentistry and Health",M,28
2011/12,Sub-degree,"Medicine, Dentistry and Health",F,120
2011/12,Sub-degree,Sciences,M,162
2011/12,Sub-degree,Sciences,F,134
2011/12,Sub-degree,Social Sciences,M,42
2011/12,Sub-degree,Social Sciences,F,97
2011/12,Undergraduate,Arts and Humanities,M,620
2011/12,Undergraduate,Arts and Humanities,F,1900
2011/12,Undergraduate,Business and Management,M,1815
2011/12,Undergraduate,Business and Management,F,2332
2011/12,Undergraduate,Education,M,181
2011/12,Undergraduate,Education,F,761
2011/12,Undergraduate,Engineering and Technology,M,2081
2011/12,Undergraduate,Engineering and Technology,F,996
2011/12,Undergraduate,"Medicine, Dentistry and Health",M,511
2011/12,Undergraduate,"Medicine, Dentistry and Health",F,825
2011/12,Undergraduate,Sciences,M,1877
2011/12,Undergraduate,Sciences,F,1024
2011/12,Undergraduate,Social Sciences,M,950
2011/12,Undergraduate,Social Sciences,F,1758
2011/12,Taught Postgraduate,Arts and Humanities,M,37
2011/12,Taught Postgraduate,Arts and Humanities,F,78
2011/12,Taught Postgraduate,Business and Management,M,2
2011/12,Taught Postgraduate,Business and Management,F,2
2011/12,Taught Postgraduate,Education,M,487
2011/12,Taught Postgraduate,Education,F,853
2011/12,Taught Postgraduate,Engineering and Technology,M,75
2011/12,Taught Postgraduate,Engineering and Technology,F,68
2011/12,Taught Postgraduate,"Medicine, Dentistry and Health",M,7
2011/12,Taught Postgraduate,"Medicine, Dentistry and Health",F,19
2011/12,Taught Postgraduate,Sciences,M,24
2011/12,Taught Postgraduate,Sciences,F,48
2011/12,Taught Postgraduate,Social Sciences,M,90
2011/12,Taught Postgraduate,Social Sciences,F,187
2011/12,Research Postgraduate,Arts and Humanities,M,96
2011/12,Research Postgraduate,Arts and Humanities,F,119
2011/12,Research Postgraduate,Business and Management,M,39
2011/12,Research Postgraduate,Business and Management,F,42
2011/12,Research Postgraduate,Education,M,18
2011/12,Research Postgraduate,Education,F,30
2011/12,Research Postgraduate,Engineering and Technology,M,371
2011/12,Research Postgraduate,Engineering and Technology,F,164
2011/12,Research Postgraduate,"Medicine, Dentistry and Health",M,177
2011/12,Research Postgraduate,"Medicine, Dentistry and Health",F,202
2011/12,Research Postgraduate,Sciences,M,440
2011/12,Research Postgraduate,Sciences,F,191
2011/12,Research Postgraduate,Social Sciences,M,95
2011/12,Research Postgraduate,Social Sciences,F,129
2012/13,Sub-degree,Arts and Humanities,M,82
2012/13,Sub-degree,Arts and Humanities,F,308
2012/13,Sub-degree,Business and Management,M,82
2012/13,Sub-degree,Business and Management,F,244
2012/13,Sub-degree,Education,M,202
2012/13,Sub-degree,Education,F,648
2012/13,Sub-degree,Engineering and Technology,M,602
2012/13,Sub-degree,Engineering and Technology,F,467
2012/13,Sub-degree,"Medicine, Dentistry and Health",M,39
2012/13,Sub-degree,"Medicine, Dentistry and Health",F,115
2012/13,Sub-degree,Sciences,M,150
2012/13,Sub-degree,Sciences,F,137
2012/13,Sub-degree,Social Sciences,M,37
2012/13,Sub-degree,Social Sciences,F,64
2012/13,Undergraduate,Arts and Humanities,M,668
2012/13,Undergraduate,Arts and Humanities,F,1831
2012/13,Undergraduate,Business and Management,M,1826
2012/13,Undergraduate,Business and Management,F,2315
2012/13,Undergraduate,Education,M,205
2012/13,Undergraduate,Education,F,768
2012/13,Undergraduate,Engineering and Technology,M,2234
2012/13,Undergraduate,Engineering and Technology,F,1038
2012/13,Undergraduate,"Medicine, Dentistry and Health",M,557
2012/13,Undergraduate,"Medicine, Dentistry and Health",F,850
2012/13,Undergraduate,Sciences,M,1935
2012/13,Undergraduate,Sciences,F,1045
2012/13,Undergraduate,Social Sciences,M,972
2012/13,Undergraduate,Social Sciences,F,1663
2012/13,Taught Postgraduate,Arts and Humanities,M,34
2012/13,Taught Postgraduate,Arts and Humanities,F,51
2012/13,Taught Postgraduate,Business and Management,M,1
2012/13,Taught Postgraduate,Business and Management,F,1
2012/13,Taught Postgraduate,Education,M,610
2012/13,Taught Postgraduate,Education,F,1052
2012/13,Taught Postgraduate,Engineering and Technology,M,81
2012/13,Taught Postgraduate,Engineering and Technology,F,66
2012/13,Taught Postgraduate,"Medicine, Dentistry and Health",M,4
2012/13,Taught Postgraduate,"Medicine, Dentistry and Health",F,1
2012/13,Taught Postgraduate,Sciences,M,25
2012/13,Taught Postgraduate,Sciences,F,38
2012/13,Taught Postgraduate,Social Sciences,M,112
2012/13,Taught Postgraduate,Social Sciences,F,158
2012/13,Research Postgraduate,Arts and Humanities,M,77
2012/13,Research Postgraduate,Arts and Humanities,F,140
2012/13,Research Postgraduate,Business and Management,M,42
2012/13,Research Postgraduate,Business and Management,F,48
2012/13,Research Postgraduate,Education,M,18
2012/13,Research Postgraduate,Education,F,43
2012/13,Research Postgraduate,Engineering and Technology,M,393
2012/13,Research Postgraduate,Engineering and Technology,F,152
2012/13,Research Postgraduate,"Medicine, Dentistry and Health",M,134
2012/13,Research Postgraduate,"Medicine, Dentistry and Health",F,160
2012/13,Research Postgraduate,Sciences,M,423
2012/13,Research Postgraduate,Sciences,F,190
2012/13,Research Postgraduate,Social Sciences,M,98
2012/13,Research Postgraduate,Social Sciences,F,151
2013/14,Sub-degree,Arts and Humanities,M,63
2013/14,Sub-degree,Arts and Humanities,F,264
2013/14,Sub-degree,Business and Management,M,95
